date,prix,lag_1,lag_2,lag_4,lag_8,lag_12,MA4,MA12,MA26,std_4,mois,trimestre,semaine,variation_pct
2016-03-31,37.75,38.32,39.79,38.29,27.45,30.48,38.58,34.055,37.332692307692305,0.8631338250812645,3,1,13,-1.4874739039665963
2016-04-07,41.76,37.75,38.32,38.46,30.66,26.55,39.405,35.3225,37.144999999999996,1.7898323943876455,4,2,14,10.622516556291384
2016-04-14,42.63,41.76,37.75,39.79,32.15,32.3,40.115,36.18333333333334,37.04615384615385,2.439023028454784,4,2,15,2.083333333333348
2016-04-21,45.33,42.63,41.76,38.32,34.66,32.28,41.8675,37.270833333333336,37.0226923076923,3.137710152324365,4,2,16,6.333567909922588
2016-04-28,43.78,45.33,42.63,37.75,38.29,27.45,43.375,38.63166666666667,36.925000000000004,1.5437292508724973,4,2,17,-3.4193690712552294
2016-05-05,46.23,43.78,45.33,41.76,38.46,30.66,44.49250000000001,39.92916666666667,37.051923076923075,1.6017568479639273,5,2,18,5.596162631338508
2016-05-12,48.19,46.23,43.78,42.63,39.79,32.15,45.88249999999999,41.26583333333333,37.33807692307692,1.8412925713565025,5,2,19,4.239671209171525
2016-05-19,49.56,48.19,46.23,45.33,38.32,34.66,46.94,42.5075,37.58884615384615,2.5110821040604425,5,2,20,2.8429134675243883
2016-05-26,49.01,49.56,48.19,43.78,37.75,38.29,48.2475,43.40083333333334,37.93769230769231,1.4580437807781756,5,2,21,-1.1097659402744209
2016-06-02,51.23,49.01,49.56,46.23,41.76,38.46,49.497499999999995,44.464999999999996,38.47884615384615,1.2848702917671777,6,2,22,4.529687818812489
2016-06-09,48.01,51.23,49.01,48.19,42.63,39.79,49.4525,45.15,38.959230769230764,1.3475502464345708,6,2,23,-6.285379660355261
2016-06-16,49.13,48.01,51.23,49.56,45.33,38.32,49.345,46.05083333333334,39.40653846153846,1.3532553343693894,6,2,24,2.3328473234742964
2016-06-23,49.88,49.13,48.01,49.01,43.78,37.75,49.5625,47.06166666666667,39.91730769230769,1.3513789253940585,6,2,25,1.5265621819662067
2016-06-30,47.43,49.88,49.13,51.23,46.23,41.76,48.6125,47.53416666666667,40.434999999999995,1.1008595126835725,6,2,26,-4.9117882919005655
2016-07-07,44.75,47.43,49.88,48.01,48.19,42.63,47.7975,47.71083333333333,40.98384615384615,2.275571356824323,7,3,27,-5.650432215897105
2016-07-14,44.94,44.75,47.43,49.13,49.56,45.33,46.75,47.678333333333335,41.691153846153846,2.4176710556510126,7,3,28,0.4245810055865773
2016-07-21,41.92,44.94,44.75,49.88,49.01,43.78,44.76,47.52333333333333,42.06115384615384,2.252924025941867,7,3,29,-6.720071206052502
2016-07-28,40.83,41.92,44.94,47.43,51.23,46.23,43.11,47.07333333333333,42.38999999999999,2.053695855443595,7,3,30,-2.6001908396946605
